	GSM3014964_Tissue_CTRL1	GSM3014965_Tissue_CTRL2	GSM3014966_Tissue_CTRL3	GSM3014967_Tissue_CTRL4	GSM3014968_Tissue_CTRL5	GSM3014969_Tissue_CTRL6	GSM3014970_Tissue_CTRL7	GSM3014971_Tissue_CTRL8	GSM3014972_Tissue_PD1	GSM3014973_Tissue_PD2	GSM3014974_Tissue_PD3	GSM3014975_Tissue_PD4	GSM3014976_Tissue_PD5	GSM3014977_Tissue_PD6	GSM3014978_Tissue_PD7	GSM3014979_Tissue_PD8
MAP1A	-2.6575411163591416	-1.2075339586070035	0.7905115803089552	0.3275813273727336	0.41029853196271604	1.845186537903641	0.3276424522264393	-0.16090092537866407	-1.326080867934418	-0.10881817596412138	-0.10500826627190957	0.9555355026963369	0.40328464736842484	0.14857922741014878	0.399858269167798	-0.04259476590198069
PPIA3L	-2.8437215681678665	-0.9035009804538102	0.14156976503558322	-0.4298864369248857	0.12659545276665024	0.5619642367340388	0.0398905802758087	1.41888411623351	-0.589359509447099	-0.36447189710735556	1.7094579054294772	0.07618887404017412	-0.0391957546530225	-0.22324592003301597	0.33065473774842735	0.9881763985233823
MAP1B	-3.336861054482604	0.13097612130397424	0.8803663206726885	-0.46950647723332295	0.5041801784717193	0.7679462547276544	0.3758401111579901	0.1949668466538415	-0.7829013286505254	0.6175319204340827	0.7076270412914946	0.4142821592239272	0.4772278650000148	-0.49202909269084366	0.5938092402813413	-0.5834561061614589
CLSTN1	-2.456563521639682	0.07060437541233812	0.9163195320782022	-1.1307588690338743	0.9781121863553163	0.7583896158501419	0.9948926709200607	-0.891597905018219	0.6359765110469294	0.012339241239754823	-0.5705191760025655	0.4566993073428776	0.13983547265659063	0.5056362373021438	1.059883337655751	-1.4792490161657348
APOE	2.1213417886930057	0.29141949076498047	-0.6811882038015101	0.3843810140956644	-0.37605691445418643	-0.13133142765394407	-0.5063499581433463	-1.8562430945928126	0.853564175367903	-0.1681109559620977	-1.0573131398057152	-0.6478257205793855	-0.2687591532500943	0.5624144841815597	-0.5178012621218162	1.9978588772618406
EEF1A2	-3.0848973147937238	-0.008322836830873094	0.9809861327618619	-0.16432338176337996	0.4105662174740153	0.7536246999071541	0.7094077685242397	-0.8628112446055566	0.6065281172111503	0.401250264991402	-0.9799631719431062	0.7947877409349003	0.46123745629626783	0.2226432334813641	0.6204571863117857	-0.8611708679575335
MBP	2.6560221676392746	0.7521171245878091	0.10201933958154075	0.9611329253688642	-0.18448234489206267	0.19382339223057957	0.4992654643766578	0.2499205987537716	-0.8430292964861574	0.6349047255008471	-1.1154389311138106	-1.450778072221183	-0.33685579120995573	-1.4782896009673903	-0.10134362106717962	-0.5389880800815962
SERPINA3	0.008097639689775804	1.1678904433807527	-0.6330088689890847	1.8228710833640838	0.5446259642019309	-1.1486920144799433	-1.0086629488598489	-0.0733829967470849	-0.3559915495018606	-0.41397180023282426	2.3447146924276754	-0.577953922205813	0.3055254896119995	-0.9337489167217699	-1.084949235049269	0.03663694011127817
ATP1A2	2.5493995784970704	-0.9506948186953437	-0.3526729704015503	0.05208053336117902	-0.477859471973747	-0.8040210583249104	-0.4053303462969796	0.9912739672231986	0.33806141695256176	-0.7046713353046332	-1.2512050694310894	0.1428100419498308	-0.2518094547663167	0.08560358988302609	-0.829675567533568	1.8687109648612548
MT3	2.722967345750038	0.8841237450234418	-0.7422818227727412	-0.3773864761911589	-1.6258323259693856	-0.39346462506676266	-0.013469867005310608	-1.1162126476446934	0.036574150316785875	0.7673647632130539	-1.3560523673255171	0.15820681244496076	0.5800913072702231	-0.02220006918815239	-0.0261979470188787	0.5237700241640915
AHNAK	2.83026339401696	0.6801103109791514	-1.036110954048524	-0.5554501938136724	-1.2175046551022988	-1.3359616029021006	-0.28128012242667105	0.4267831724929604	-0.05692140978805498	0.06578835473750984	0.12567935470346878	0.23008345076287146	0.036494834829740516	-0.17865340938667582	-0.9783088471533722	1.2449883220987106
HSPA8	-1.466416316536497	-0.20657728186235197	0.8182597390073996	-1.7652943843900164	-0.32672305595169177	0.8837895436542574	0.32320242483892064	-1.4496322553251377	-0.40135025781103045	-0.7734765845872736	1.448628241156901	0.712302134646088	1.4886652622210421	0.2632200091693005	0.9921454243918926	-0.5407426426218963
PEA15	-1.198254183631367	0.10217837290282843	-0.6390830918901076	-1.8283179267048923	-0.08061094893658033	0.4847189531381736	-1.533977078642077	-0.9892721830633792	0.5178971741684341	-0.5802010143855796	0.885419070979272	1.5887990981238622	0.3962600101771308	1.1905085146162253	0.4393974524089492	1.2445377807390934
ENSG00000270762	-3.1120006654349766	0.2647995636907801	0.2917257149277058	-1.3323683820106218	0.4039111488630381	0.8553298416983979	0.008317760713048942	-0.7585251049334595	0.6692175618470704	0.41176224148135954	-0.33088138611725154	0.831148832814629	-0.029408899373059745	0.829637415387695	0.8927918925121411	0.10454246393350124
KIF5A	1.882347728214101	-0.6870918356706062	0.06265871542148203	1.4351533405576395	0.1601894309882411	-0.45254585092524924	-0.44459527761664297	1.4198441189016502	-0.9812395451400824	0.7993992118532133	-0.3593531259057251	-0.2821359365484998	-0.6451322293688585	-2.264148082412554	0.004783719874201313	0.3518656177777045
IFITM3	1.0642595822540515	1.1444066225530898	-0.8399964213211357	1.696979608167739	0.5075187567584658	-1.6057955363368732	-0.6209690208038872	0.2058037078128377	-0.5069899345906176	0.017433807432618086	1.6055281953187621	-1.0143961539724318	0.4201827051315715	-1.162443809977334	-1.1269206823354254	0.2153985739085832
RAB3A	-3.4237162376312877	0.2131434512063401	0.793547439708113	-0.9029579120606092	0.5503470513161669	0.7827146598875914	0.6094092038112571	-0.1630657604108053	0.3977252991594218	0.27517554591782495	-0.16038739658194964	0.06329172626982596	0.21969397028583632	0.48404085011224995	0.7990711995055805	-0.5380330904955292
ATP5B	-2.3677939492707223	0.07023745229314995	0.7145977348987081	-1.3598691908877212	0.3279139060564805	1.1323252081332353	0.878897283161223	-0.9440036751765347	0.417944511955944	0.049631336740645224	-0.35499150715761413	0.3810288439083739	0.4130597106690176	0.7240666370350908	1.3420874872232582	-1.4251317895825257
ENSG00000226976	-1.840068673937353	0.7895716766924287	0.9065604416819328	-1.0076743067810678	-0.10433245770194977	1.6624707724386396	-0.011182453449383454	-2.0122375382263007	0.493321517276723	1.2285784343830823	-1.0245200055498265	0.3368949862567055	0.05786823754912542	0.07462472680469624	0.6145562038201126	-0.16443156125763997
TMSB10	-2.4834636373591654	0.23195176042539048	0.753616436960227	-1.4038080656239846	0.450051167851743	1.5491188640230065	-0.499903113288463	-0.3812252437300208	-0.814291081705083	1.322426733277902	-0.06267606283731388	0.8961323217311388	0.6501739492487066	-0.5251615808948197	-0.21214180043626182	0.5291993523570669
SCARNA7	1.6209196100255057	0.712605030347368	-0.2943886882146685	0.061861212997370484	0.40666467579414733	-0.9110139742576855	-0.6805486287323791	1.638328166433736	0.34574085559883333	-0.8257383352569219	0.57895758197066	-0.7557172833016014	-0.4686976608571979	-1.165800581045667	-1.761103507191841	1.4979315256903294
GXL_41517	-2.7412690558298345	-0.41033567184543446	0.6753792397924017	-1.1598064739554586	0.4004497190637151	0.913716474220399	0.4051010294651743	-0.8799320772583715	0.7313584046266243	0.2089957162002177	-0.44542415898556004	0.8862384542270475	0.2244578970813912	0.9012361613146136	1.173304210073697	-0.8834698681906025
BSCL2	-2.6273314544626114	-0.4391284751599016	0.6638705686531371	-1.270691201623717	0.4062018163746861	0.916307851362121	0.3986723884404187	-0.9526358132689666	0.7667944875355072	0.17403014984522325	-0.3861424114965211	0.9262569808688389	0.2497676716231859	0.9074098159583003	1.18952931760586	-0.9229116922555357
TUBB2B	2.192888631121183	1.3004607832426882	-0.6768807929633943	0.6958004269491281	-1.4082436506873908	-0.6762397372635561	-0.5798862939596718	-0.35196102231652243	-0.19369579312682866	-0.39186362558093696	1.360699675599134	-1.7892691338632343	0.448679747550462	-0.07421192943953417	-0.2411310435091239	0.38485375824759094
HSP90AA1	0.37813371692858594	-0.9726489779146885	0.362423955009351	-1.7796789308738683	-1.0884844937374472	0.28300881535239497	-0.6839675873163853	-0.3323175968503304	-0.6756463126114459	-0.5442831144993782	2.5076730977844273	0.7531607832521157	1.1491943207286608	-0.4379607841066835	0.7190798033153167	0.36231330553939695
