Gene_Symbol,GSM3014964_Tissue_CTRL1,GSM3014965_Tissue_CTRL2,GSM3014966_Tissue_CTRL3,GSM3014967_Tissue_CTRL4,GSM3014968_Tissue_CTRL5,GSM3014969_Tissue_CTRL6,GSM3014970_Tissue_CTRL7,GSM3014971_Tissue_CTRL8,GSM3014972_Tissue_PD1,GSM3014973_Tissue_PD2,GSM3014974_Tissue_PD3,GSM3014975_Tissue_PD4,GSM3014976_Tissue_PD5,GSM3014977_Tissue_PD6,GSM3014978_Tissue_PD7,GSM3014979_Tissue_PD8
ABCB6,6.3975,8.76774,7.9557,6.59846,7.60125,8.36625,7.80704,7.25477,7.98935,9.23295,7.85259,8.43838,8.1596,6.99902,8.90681,7.80407
ABCB7,8.60444,7.22106,5.39965,6.39827,6.52308,6.29123,6.78392,8.58427,5.22078,6.24275,9.52508,6.36737,7.30475,5.9677,5.95538,8.00122
ABCB8,3.54807,4.63264,3.59293,3.83197,3.39755,3.86908,3.57762,4.04959,4.13908,5.32178,3.57912,3.30004,3.07832,3.34683,3.29061,3.8147
ABCB9,3.8642,3.87932,4.6856,4.53494,3.82264,4.28484,4.88179,3.98799,4.40064,4.33142,2.98447,3.78111,4.45917,3.61631,4.04465,3.54592
ABCC1,5.26806,5.6101,5.84511,7.17142,6.06578,5.15552,6.06951,5.89203,5.12583,5.59154,5.76276,5.55111,5.76566,5.00748,5.32638,6.33574
ABCC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC10,3.14335,3.00566,3.14938,3.15831,3.14286,2.86044,3.2973,2.99017,3.48113,3.70333,2.79223,2.68091,3.37946,3.02631,2.61369,3.74884
ABCC11,0.6885,0.71131,0.45883,0.43937,0.35545,0.31032,0.4044,0.31904,0.56341,0.45311,0.43773,0.30041,0.51304,0.36402,0.39711,0.42059
ABCC12,0.10419,0.27746,0.5092,0.21282,0.37372,0.38854,0.37643,0.19826,0.2006,0.28869,0.24399,0.09232,0.2534,0.23033,0.43586,0.10772
ABCC13,0.00705,0,0,0,0,0,0,0,0,0.01494,0,0,0,0,0,0.00395
ABCC2,0.62365,0.20596,0.10583,0.31724,0.17605,0.11452,0.0861,0.54021,0.12171,0.13459,0.25656,0.22616,0.19271,0.07112,0.05234,0.34276
ABCC3,0.10352,0.14229,0.12647,0.28762,0.16004,0.13371,0.10112,0.2055,0.17868,0.1437,0.12629,0.05756,0.13793,0.05129,0.05824,0.13992
ABCC4,1.09522,1.77126,0.9757,1.76329,1.48129,1.26699,0.80288,1.84311,1.70723,1.37299,1.4981,1.6611,1.4508,1.83599,0.97612,1.85522
ABCC5,7.46537,9.68957,11.39185,10.00961,10.23881,10.82143,11.5899,11.61156,11.27615,12.84574,12.16879,12.47872,12.32473,10.50995,10.10122,9.82948
ABCC6,0.98498,0.32519,0.15272,0.27468,0.27797,0.11017,0.34292,0.31033,0.35566,0.3496,0.37024,0.17278,0.29859,0.20527,0.11782,0.57116
